[108.704] ち_____: きたわね
[108.853] (S)qmapa: がてぃでな
[108.860] sisiminn: ネジキやろー！！！
[109.474] えむてぃーだよ: 楽しみやね
[109.701] bigbaby0529: やっとや
[109.930] (S)村紗あざらし: 昨日何時までやってたの
[109.948] kqreh: でも転売ヤーに独占されるよ
[109.971] デビッドベッカム: 明け方に楽しいことやってたらしいじゃねえか
[110.098] leaf0229: ついに3Dマリオくるかな
[110.349] (S)xEqst: xEqst subscribed with Prime. 
[110.355] elmochaan: サブスクくださいな 
[110.531] amethystbeet: WiiUみたいな感じ？
[110.994] s_love_yupooo: 援交女は税金払え
[111.114] (S)momor1n_b: 今日は古いマリオある？
[111.183] (S)satsi045: batoraSudachikunAnimation
[111.288] groovy_gozila: 再来年だろ
[111.568] (S)ikasumip: たのしみ
[111.765] (S)フェネル: あーあ
[111.806] mutyauma: うん
[111.866] (S)gardenpo: スマブラあるかな
[112.031] kynsisakset: BloodTrail
[112.129] (S)misosoup5296: うんこちゃんとご飯食べに行けそう？
[112.170] satosinners: batoraSudachikun5
